,SMILES,pIC50,num_atoms,logP
0,Cc1cc(-c2csc(N=C(N)N)n2)cn1C,0.1160288683602771,16,1.36192
1,Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,1.475933523266857,27,3.2750000000000004
2,COc1c(O)cc(O)c(C(=N)Cc2ccc(O)cc2)c1O,1.475933523266857,21,2.1281699999999995
3,CCOC(=O)c1cc2cc(C(=O)O)ccc2[nH]1,0.1160288683602771,17,2.0428
4,CC(=O)O[C@@H]1[C@@H](OC(C)=O)/C(C)=C\[C@@H]2OC(=O)[C@]3(C)O[C@]23[C@H](OC(C)=O)[C@H]2[C@](C)(O)[C@H](O)C=C[C@]2(C)[C@H]1OC(C)=O,1.475933523266857,41,0.4304000000000012
5,C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)NN(CC(N)=O)C(=O)/C=C/C(=O)N(Cc1ccco1)Cc1ccco1,5.613705035971224,45,1.1223000000000047
6,COc1ccc2c(c1OC)C(CC1(C)C=Cc3c(c4cccc(OC)c4n(C)c3=O)O1)N(C)c1c-2ccc2cc3c(cc12)OCO3,5.613705035971224,46,6.858700000000008
7,CC(C)C[C@H](NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CS)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CS)C(=O)O,5.613705035971224,78,1.1734000000000122
8,CC(C)=C[C@H]1C[C@](C)(O)[C@@H]2[C@H]3CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@@H](COC(=O)CC(=O)O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@@]34CO[C@@]2(C4)O1,5.613705035971224,69,0.6314000000000108
9,CCn1c2ccc3cc2c2cc(ccc21)C(=O)c1ccc(cc1)Cn1cc[n+](c1)Cc1ccc(cc1)-c1cccc(c1C(=O)O)-c1ccc(cc1)C[n+]1ccn(c1)Cc1ccc(cc1)C3=O.[Br-].[Br-],5.613705035971224,68,4.001200000000006
