pIC50,num_atoms,logP,Mol,molecular_weight,polar_surface_area,h_bond_donors,h_bond_acceptors,rotatable_bonds,ring_count,aromatic_rings,logS,electrostatic_potential,shape_index,surface_area,unified_smiles,Cluster
4.26,25,4.1591,<rdkit.Chem.rdchem.Mol object at 0x7b8058b0e490>,367.04491865600005,71.95,1,5,4,4,4,-4.159100000000002,-0.9771792493266914,1139.9346654410272,148.61755337168788,O=S(=O)(Nc1cccc(-c2cnc3ccccc3n2)c1)c1cccs1,2
4.34,36,3.6743,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30900>,506.12676797000006,149.78,4,6,7,5,5,-3.6743000000000015,-1.7770005778979325,1619.638688711519,203.21192098547556,O=c1cc(-c2nc(-c3ccc(-c4cn(CCP(=O)(O)O)nn4)cc3)[nH]c2-c2ccc(F)cc2)cc[nH]1,2
4.53,23,1.5361,<rdkit.Chem.rdchem.Mol object at 0x7b8058b307b0>,317.17394159599996,101.37000000000002,3,5,5,3,2,-1.5361,-1.5326492634272342,702.4166586900184,134.48531783167368,NC(=O)c1ccc2c(c1)nc(C1CCC(O)CC1)n2CCCO,2
4.56,22,0.951,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30820>,301.190260356,98.96000000000001,3,5,5,3,2,-0.9509999999999998,-1.4401465222023446,672.4711567838987,129.4216610935058,NCCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,2
4.59,21,3.213,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30890>,294.093917448,49.84,2,3,2,3,3,-3.213000000000001,-1.0625012881768703,800.893785231744,127.7978466624034,CNC(=S)Nc1cccc(-c2cnc3ccccc3n2)c1,1
4.6,22,3.6453,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30970>,289.1215121,54.88,1,3,3,4,3,-3.6453000000000024,-0.9150395487354748,855.5850126923453,127.77477940689825,O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)C1CC1,1
4.61,24,4.1421,<rdkit.Chem.rdchem.Mol object at 0x7b8058b309e0>,315.100776656,68.02000000000001,1,4,3,4,4,-4.142100000000002,-1.0018499940534333,1009.9984346321492,137.53720768737853,O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)c1ccco1,1
4.67,26,4.5664,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30a50>,371.10366911599994,65.5,1,6,6,3,3,-4.566400000000004,-1.3128346584285426,875.7812368086594,156.27347793571826,COc1cc(Nc2nccc(-c3ccc(Cl)cc3)n2)cc(OC)c1OC,1
4.68,33,3.3235,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30ac0>,461.10702197200004,90.44,0,9,3,6,5,-3.323500000000002,-1.043576300280726,1578.3707966550296,190.35753115888045,CN1C(=O)COc2c1cnc1ccc(Sc3nnc4c(F)cc(-c5cnn(C)c5)cn34)cc21,2
4.68,32,2.369,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30b30>,450.14740956400004,99.69,2,8,5,5,3,-2.3689999999999998,-1.4932854473996893,1173.9777774966,188.5891065092612,COc1ccc2c(c1)C(=O)N(c1nc(C(=O)Nc3cnccc3N3CCNCC3)cs1)C2,2
4.69,22,2.151,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30ba0>,294.148061196,86.93,2,4,5,3,3,-2.151,-1.3063393846121547,808.1419314842967,128.11001369750798,NCCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,1
4.73,21,2.6683,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30c10>,299.0728476560001,71.95,1,4,3,3,3,-2.6683000000000003,-0.8997424095855423,907.4456099683815,122.28503800960897,CS(=O)(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,1
4.73,23,1.5025,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30c80>,316.189926008,107.16,3,5,5,3,2,-1.5024999999999993,-1.5295441612740022,701.9264336943454,135.03097477649038,NCCCn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,2
4.74,22,3.14898,<rdkit.Chem.rdchem.Mol object at 0x7b8058b30cf0>,288.101111004,78.67,1,4,3,3,3,-3.1489800000000017,-0.8702893138634338,882.9613751974979,126.80824812749957,N#CCC(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,1
